index,critic,country,org,movie_name,movie_director,movie_year,d1,d2,d1_url,birth_place,d_countries,state,direc_birthyear,age
321,Scott Collura,US,IGN,Lost in Translation ,Sofia Coppola,2003.0,Sofia Coppola,,/name/nm0001068/,"New York City, New York, USA", USA,New York,1971.0,48.0
323,Scott Collura,US,IGN,Spring Breakers ,Harmony Korine,2012.0,Harmony Korine,,/name/nm0005101/,"Bolinas, California, USA", USA,California,1973.0,46.0
325,Scott Collura,US,IGN,World of Tomorrow ,Don Hertzfeldt,2015.0,Don Hertzfeldt,,/name/nm0381116/,"Fremont, California, USA", USA,California,1976.0,43.0
327,Scott Collura,US,IGN,The Avengers ,Joss Whedon,2012.0,Joss Whedon,,/name/nm0923736/,"New York City, New York, USA", USA,New York,1964.0,55.0
328,Scott Collura,US,IGN,Her ,Spike Jonze,2013.0,Spike Jonze,,/name/nm0005069/,"Rockville, Maryland, USA", USA,Maryland,1969.0,50.0
329,Scott Collura,US,IGN,Kill Bill: Vol. 2,Quentin Tarantino,2004.0,Quentin Tarantino,,/name/nm0000233/,"Knoxville, Tennessee, USA", USA,Tennessee,1963.0,56.0
331,Colin Covert,US,Minneapolis Star-Tribune,Mulholland Drive ,David Lynch,2001.0,David Lynch,,/name/nm0000186/,"Missoula, Montana, USA", USA,Montana,1946.0,73.0
333,Colin Covert,US,Minneapolis Star-Tribune,Manchester by the Sea ,Kenneth Lonergan,2016.0,Kenneth Lonergan,,/name/nm0518836/,"New York City, New York, USA", USA,New York,1962.0,57.0
334,Colin Covert,US,Minneapolis Star-Tribune,Adaptation ,Spike Jonze,2002.0,Spike Jonze,,/name/nm0005069/,"Rockville, Maryland, USA", USA,Maryland,1969.0,50.0
338,Colin Covert,US,Minneapolis Star-Tribune,Love & Friendship ,Whit Stillman,2016.0,Whit Stillman,,/name/nm0001775/,"Washington, District of Columbia, USA", USA,District of Columbia,1952.0,67.0
342,Oggs Cruz,Philippines,Rappler.com,Mulholland Drive ,David Lynch,2001.0,David Lynch,,/name/nm0000186/,"Missoula, Montana, USA", USA,Montana,1946.0,73.0
351,Ken Dancyger,US,New York University,There Will Be Blood ,Paul Thomas Anderson,2007.0,Paul Thomas Anderson,,/name/nm0000759/,"Studio City, California, USA", USA,California,1970.0,49.0
353,Ken Dancyger,US,New York University,Lincoln ,Steven Spielberg,2012.0,Steven Spielberg,,/name/nm0000229/,"Cincinnati, Ohio, USA", USA,Ohio,1946.0,73.0
355,Ken Dancyger,US,New York University,Mystic River ,Clint Eastwood,2003.0,Clint Eastwood,,/name/nm0000142/,"San Francisco, California, USA", USA,California,1930.0,89.0
357,Ken Dancyger,US,New York University,American Hustle ,David O. Russell,2013.0,David O. Russell,,/name/nm0751102/,"Manhattan, New York City, New York, USA", USA,New York,1958.0,61.0
361,Erik Davis,US,Fandango,Boyhood ,Richard Linklater,2014.0,Richard Linklater,,/name/nm0000500/,"Houston, Texas, USA", USA,Texas,1960.0,59.0
363,Erik Davis,US,Fandango,There Will Be Blood ,Paul Thomas Anderson,2007.0,Paul Thomas Anderson,,/name/nm0000759/,"Studio City, California, USA", USA,California,1970.0,49.0
365,Erik Davis,US,Fandango,Inside Llewyn Davis ,Joel and Ethan Coen,2013.0,Joel, Ethan Coen,/name/nm0001054/,"Minneapolis, Minnesota, USA", USA,Minnesota,1954.0,65.0
366,Erik Davis,US,Fandango,Finding Nemo ,Andrew Stanton,2003.0,Andrew Stanton,,/name/nm0004056/,"Boston, Massachusetts, USA", USA,Massachusetts,1965.0,54.0
368,Erik Davis,US,Fandango,Inglourious Basterds ,Quentin Tarantino,2009.0,Quentin Tarantino,,/name/nm0000233/,"Knoxville, Tennessee, USA", USA,Tennessee,1963.0,56.0
370,Peter Debruge,US,Variety,The Tree of Life ,Terrence Malick,2011.0,Terrence Malick,,/name/nm0000517/,"Ottawa, Illinois, USA", USA,Illinois,1943.0,76.0
377,Peter Debruge,US,Variety,WALL-E ,Andrew Stanton,2008.0,Andrew Stanton,,/name/nm0004056/,"Boston, Massachusetts, USA", USA,Massachusetts,1965.0,54.0
379,Peter Debruge,US,Variety,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan ,Larry Charles,2006.0,Larry Charles,,/name/nm0153078/,"Brooklyn, New York City, New York, USA", USA,New York,1956.0,63.0
382,Fernand Denis,Belgium,La Libre Belgique,Boyhood ,Richard Linklater,2014.0,Richard Linklater,,/name/nm0000500/,"Houston, Texas, USA", USA,Texas,1960.0,59.0
400,Alonso Duralde,US,TheWrap,"Synecdoche, New York ",Charlie Kaufman,2008.0,Charlie Kaufman,,/name/nm0442109/,"New York City, New York, USA", USA,New York,1958.0,61.0
407,Alonso Duralde,US,TheWrap,American Splendor ,Robert Pulcini and Shari Springer Berman,2003.0,Robert Pulcini, Shari Springer Berman,/name/nm0700301/,"New York City, New York, USA", USA,New York,1964.0,55.0
409,Alonso Duralde,US,TheWrap,Far From Heaven ,Todd Haynes,2002.0,Todd Haynes,,/name/nm0001331/,"Los Angeles, California, USA", USA,California,1961.0,58.0
