d1,d2,d1_url
Joel, Ethan Coen,/name/nm0001054/
Clint Eastwood,,/name/nm0000142/
Baz Luhrmann,,/name/nm0525303/
Fabián Bielinsky,,/name/nm0081433/
Nanni Moretti,,/name/nm0604335/
Hong Sang-soo,,/name/nm0393254/
Lee Unkrich,,/name/nm0881279/
George Miller,,/name/nm0004306/
Hayao Miyazaki,,/name/nm0594503/
Greg Mottola,,/name/nm0609549/
Kevin Costner,,/name/nm0000126/
Jia Zhangke,,/title/tt4092686/
John Gianvito,,/name/nm1072936/
Quentin Tarantino,,/name/nm0000233/
Kiyoshi Kurosawa,,/name/nm0475905/
Apichatpong Weerasethakul,,/name/nm0917405/
Frederick Wiseman,,/name/nm0936464/
Charlie Kaufman,,/name/nm0442109/
Sion Sono,,/name/nm0814469/
Terrence Malick,,/name/nm0000517/
Martin Campbell,,/name/nm0132709/
Park Chan-wook,,/name/nm0661791/
Alfonso Cuarón,,/name/nm0190859/
David Lynch,,/name/nm0000186/
Juan José Campanella,,/name/nm0002728/
Denis Villeneuve,,/name/nm0898288/
Pablo Larraín,,/name/nm1883257/
Richard Kelly,,/name/nm0446819/
Michel Gondry,,/name/nm0327273/
David Fincher,,/name/nm0000399/
Damien Chazelle,,/name/nm3227090/
Alex Garland,,/name/nm0307497/
Pete Docter,,/name/nm0230032/
David Michôd,,/name/nm2391575/
Mel Gibson,,/name/nm0000154/
Nuri Bilge Ceylan,,/name/nm0149196/
Andrew Stanton,,/name/nm0004056/
Stevan Riley,,/name/nm2257147/
Cristian Mungiu,,/name/nm0612816/
Adam McKay,,/name/nm0570912/
Ermanno Olmi,,/name/nm0647438/
Paul Greengrass,,/name/nm0339030/
David Fincher,,/name/nm0000399/
Paul Feig,,/name/nm0082450/
Andrew Stanton,,/name/nm0004056/
John Crowley,,/name/nm1259871/
Joshua Oppenheimer,,/name/nm1484791/
Paul Thomas Anderson,,/name/nm0000759/
Steve McQueen,,/name/nm0000537/
Michel Gondry,,/name/nm0327273/
Lynne Ramsay,,/name/nm0708903/
Todd Haynes,,/name/nm0001331/
Miguel Arteta,,/name/nm0037708/
Ridley Scott,,/name/nm0000631/
Adam Curtis,,/name/nm0193231/
Baz Luhrmann,,/name/nm0525303/
Steven Spielberg,,/name/nm0000229/
Martin Campbell,,/name/nm0132709/
Lukas Moodysson,,/name/nm0600546/
Alexander Payne,,/name/nm0668247/
Quentin Tarantino,,/name/nm0000233/
David Lynch,,/name/nm0000186/
Wong Kar-wai,,/name/nm0939182/
Terrence Malick,,/name/nm0000517/
Abbas Kiarostami,,/name/nm0452102/
Brian De Palma,,/name/nm0000361/
Kenneth Lonergan,,/name/nm0518836/
Jonathan Glazer,,/name/nm0322242/
Mojtaba Mirtahmasb, Jafar Panahi,/name/nm0592554/
James Gray,,/name/nm0336695/
Laurie Anderson,,/name/nm0002173/
Wong Kar-wai,,/name/nm0939182/
Cristian Mungiu,,/name/nm0612816/
Asghar Farhadi,,/name/nm1410815/
László Nemes,,/name/nm1841577/
Gus Van Sant,,/name/nm0001814/
Jacques Audiard,,/name/nm0002191/
Paul Thomas Anderson,,/name/nm0000759/
Florian Henckel von Donnersmarck,,/name/nm0003697/
Noah Baumbach,,/name/nm0000876/
Michel Gondry,,/name/nm0327273/
Béla Tarr, Ágnes Hranitzky,/name/nm0850601/
Joshua Oppenheimer,,/name/nm1484791/
Claire Denis,,/name/nm0219136/
Jean-Gabriel Périot,,/name/nm1516014/
Harmony Korine,,/name/nm0005101/
Wong Kar-wai,,/name/nm0939182/
Alain Guiraudie,,/name/nm0347492/
Pedro Costa,,/name/nm0182276/
Albert Serra,,/name/nm2247200/
Cristi Puiu,,/name/nm1090998/
